类别,码位,一,二,三
一,a,可,可以,可能
一,b,对,对于,
一,c,好,好的,好像
一,d,不,不是,不知道
一,e,的,什么,的确
一,f,一,一个,一定
一,g,大,大家,
一,h,地,地上,地方
一,i,没,没有,没人
一,j,是,是的,是否
一,k,上,上面,
一,l,中,中间,中国
一,m,小,小时,小孩
一,n,回,回来,回答
一,o,为,为什么,为何
一,p,这,这个,这样
一,q,我,我们,我的
一,r,得,得到,得意
一,s,在,有的,有些
一,t,个,个人,个个
一,u,着,应该,
一,v,了,经济,经过
一,w,然,然后,然而
一,x,出,出来,出现
一,y,心,心情,
三,cto,陰,,
三,dhg,赶,,
三,dmw,霄,,
三,ejt,备,,
三,fjv,東,,
三,fkf,棘,,
三,fkk,樱,,
三,gnl,颐,,
三,gov,酿,,
三,hvx,劫,,
三,ijs,端,,
三,ijv,音,,
三,ivt,竣,,
三,jol,景,,
三,kll,闡,,
三,onl,氈,,
三,osj,寞,,
三,puh,糕,,
三,pvg,瘆,,
三,rsw,獲,,
三,sdx,萋,,
三,sjg,蓦,,
三,sll,歡,,
三,tov,贪,,
三,ubb,彎,,
三,ubf,燈,,
三,ugs,謹,,
三,uhu,羔,,
三,umj,爐,,
三,umt,瞥,,
三,uxw,朔,,
三,wug,朕,,
三,wuh,犧,,
三,xhj,畫,,
三,xwa,奬,,
二,aa,打,打开,
二,ab,切,取得,
二,ac,把,把握,
二,ad,顶,顶级,
二,ae,摇,摇头,
二,af,扛,捕捉,
二,ag,找,找到,
二,ah,持,持续,
二,ai,拉,接受,
二,aj,提,提高,
二,ak,下,下来,
二,al,事,事情,
二,am,东,东西,
二,an,丁,捉住,
二,ao,按,按照,
二,ap,过,过去,
二,aq,才,才能,
二,ar,指,指出,
二,as,摸,措施,
二,at,拥,抑制,
二,au,联,严重,
二,av,扬,违反,
二,aw,抱,推动,
二,ax,击,报告,
二,ay,势,势力,
二,ba,怼,对方,
二,bb,双,双方,
二,bc,丑,丑陋,
二,bd,刀,居住,
二,be,改,改变,
二,bf,登,登记,
二,bg,戏,戏曲,
二,bh,屋,屋里,
二,bi,已,已经,
二,bj,己,己见,
二,bk,观,观察,
二,bl,避,避免,
二,bm,母,母亲,
二,bn,綑,,
二,bo,尽,尽量,
二,bp,屡,屡次,
二,bq,属,属于,
二,br,尼,尾巴,
二,bs,展,展示,
二,bt,通,通过,
二,bu,又,又是,
二,bv,局,局面,
二,bw,难,难道,
二,bx,劝,劝说,
二,by,鸡,鸡蛋,
二,ca,民,导致,
二,cb,努,努力,
二,cc,她,她们,
二,cd,姑,姑娘,
二,ce,附,附近,
二,cf,隔,隔离,
二,cg,姨,姨妈,
二,ch,妹,妹妹,
二,ci,陪,陪伴,
